Img no,sp_id,cent_X,cent_Y,width,height,area,grayavg,eccentricity
1.0,1063.0,333.68,856.3166666666667,22.0,18.0,300.0,38.0,0.6099599476892646
1.0,1064.0,337.3349282296651,260.6794258373206,25.0,27.0,209.0,145.0,0.834841519277061
1.0,1065.0,330.8961038961039,386.76190476190476,17.0,20.0,231.0,57.0,0.5223438522483663
1.0,1066.0,335.26358695652175,448.91847826086956,26.0,22.0,368.0,59.0,0.6860063362902722
1.0,1067.0,335.398891966759,177.2437673130194,25.0,23.0,361.0,45.0,0.5870052373032666
1.0,1068.0,345.121412803532,307.7704194260486,37.0,33.0,453.0,117.0,0.7472001865095458
1.0,1069.0,335.40418118466897,334.5679442508711,22.0,24.0,287.0,87.0,0.5812657997136415
1.0,1070.0,338.03105590062114,215.11490683229815,26.0,20.0,322.0,53.0,0.7340675116164469
1.0,1071.0,337.13058419243987,12.079037800687285,21.0,19.0,291.0,134.0,0.4252066535222269
1.0,1072.0,337.4939024390244,483.9024390243902,22.0,20.0,328.0,40.0,0.4716121580906587
1.0,1073.0,337.01742160278746,908.0696864111499,22.0,18.0,287.0,41.0,0.6044760297571391
1.0,1074.0,344.07207207207205,431.44594594594594,24.0,27.0,444.0,46.0,0.4128228525332004
1.0,1075.0,350.0790322580645,213.9,31.0,76.0,620.0,110.0,0.9517983466702671
1.0,1076.0,344.42084168336675,402.67735470941886,22.0,41.0,499.0,112.0,0.8855330421780552
1.0,1077.0,347.07602339181284,167.47368421052633,25.0,23.0,171.0,98.0,0.7273703760529499
1.0,1078.0,352.9588607594937,6.6424050632911396,34.0,21.0,316.0,79.0,0.6444404256263093
1.0,1079.0,347.32380952380953,146.48253968253968,23.0,22.0,315.0,45.0,0.44833199309589566
1.0,1080.0,342.9135338345865,466.0187969924812,19.0,22.0,266.0,58.0,0.5374645098459964
1.0,1081.0,346.47151898734177,41.74367088607595,20.0,19.0,316.0,36.0,0.3308248480609361
1.0,1082.0,345.24122807017545,247.25438596491227,15.0,30.0,228.0,94.0,0.8753149847621209
1.0,1083.0,347.0,295.49732620320856,20.0,18.0,187.0,57.0,0.753709756792961
1.0,1084.0,343.59923664122135,362.42748091603056,16.0,27.0,262.0,71.0,0.7445863222639941
1.0,1085.0,347.68954248366015,128.27124183006535,19.0,18.0,306.0,38.0,0.46144848766037244
1.0,1086.0,349.548275862069,24.841379310344827,20.0,21.0,290.0,69.0,0.6588598313678901
1.0,1087.0,348.32981530343005,194.35356200527704,19.0,28.0,379.0,55.0,0.6954312300068898
1.0,1088.0,360.9218106995885,336.48559670781896,50.0,28.0,243.0,149.0,0.9241465003884121
